city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,7
sj,2008,20,8
sj,2008,21,6
sj,2008,22,5
sj,2008,23,4
sj,2008,24,5
sj,2008,25,8
sj,2008,26,5
sj,2008,27,6
sj,2008,28,7
sj,2008,29,8
sj,2008,30,8
sj,2008,31,8
sj,2008,32,11
sj,2008,33,18
sj,2008,34,17
sj,2008,35,16
sj,2008,36,18
sj,2008,37,17
sj,2008,38,15
sj,2008,39,18
sj,2008,40,14
sj,2008,41,14
sj,2008,42,14
sj,2008,43,10
sj,2008,44,10
sj,2008,45,9
sj,2008,46,10
sj,2008,47,9
sj,2008,48,7
sj,2008,49,9
sj,2008,50,8
sj,2008,51,7
sj,2008,52,10
sj,2009,1,12
sj,2009,2,7
sj,2009,3,7
sj,2009,4,5
sj,2009,5,6
sj,2009,6,5
sj,2009,7,7
sj,2009,8,7
sj,2009,9,5
sj,2009,10,4
sj,2009,11,4
sj,2009,12,8
sj,2009,13,5
sj,2009,14,3
sj,2009,15,4
sj,2009,16,4
sj,2009,17,6
sj,2009,18,3
sj,2009,19,4
sj,2009,20,5
sj,2009,21,5
sj,2009,22,6
sj,2009,23,8
sj,2009,24,7
sj,2009,25,8
sj,2009,26,5
sj,2009,27,8
sj,2009,28,6
sj,2009,29,9
sj,2009,30,12
sj,2009,31,12
sj,2009,32,15
sj,2009,33,14
sj,2009,34,13
sj,2009,35,19
sj,2009,36,14
sj,2009,37,15
sj,2009,38,15
sj,2009,39,12
sj,2009,40,18
sj,2009,41,24
sj,2009,42,21
sj,2009,43,13
sj,2009,44,12
sj,2009,45,9
sj,2009,46,10
sj,2009,47,11
sj,2009,48,9
sj,2009,49,9
sj,2009,50,7
sj,2009,51,6
sj,2009,52,13
sj,2010,53,12
sj,2010,1,10
sj,2010,2,6
sj,2010,3,9
sj,2010,4,8
sj,2010,5,9
sj,2010,6,10
sj,2010,7,7
sj,2010,8,5
sj,2010,9,6
sj,2010,10,8
sj,2010,11,8
sj,2010,12,8
sj,2010,13,7
sj,2010,14,7
sj,2010,15,5
sj,2010,16,5
sj,2010,17,5
sj,2010,18,7
sj,2010,19,6
sj,2010,20,7
sj,2010,21,5
sj,2010,22,8
sj,2010,23,8
sj,2010,24,9
sj,2010,25,13
sj,2010,26,10
sj,2010,27,8
sj,2010,28,10
sj,2010,29,12
sj,2010,30,18
sj,2010,31,16
sj,2010,32,22
sj,2010,33,21
sj,2010,34,21
sj,2010,35,21
sj,2010,36,17
sj,2010,37,19
sj,2010,38,16
sj,2010,39,19
sj,2010,40,13
sj,2010,41,19
sj,2010,42,15
sj,2010,43,12
sj,2010,44,9
sj,2010,45,11
sj,2010,46,11
sj,2010,47,11
sj,2010,48,9
sj,2010,49,8
sj,2010,50,6
sj,2010,51,6
sj,2011,52,12
sj,2011,1,10
sj,2011,2,6
sj,2011,3,6
sj,2011,4,7
sj,2011,5,7
sj,2011,6,6
sj,2011,7,5
sj,2011,8,5
sj,2011,9,6
sj,2011,10,5
sj,2011,11,5
sj,2011,12,4
sj,2011,13,3
sj,2011,14,2
sj,2011,15,5
sj,2011,16,5
sj,2011,17,5
sj,2011,18,5
sj,2011,19,5
sj,2011,20,4
sj,2011,21,6
sj,2011,22,8
sj,2011,23,8
sj,2011,24,10
sj,2011,25,11
sj,2011,26,5
sj,2011,27,9
sj,2011,28,13
sj,2011,29,10
sj,2011,30,12
sj,2011,31,13
sj,2011,32,20
sj,2011,33,17
sj,2011,34,19
sj,2011,35,14
sj,2011,36,16
sj,2011,37,14
sj,2011,38,14
sj,2011,39,13
sj,2011,40,19
sj,2011,41,12
sj,2011,42,13
sj,2011,43,11
sj,2011,44,12
sj,2011,45,8
sj,2011,46,10
sj,2011,47,12
sj,2011,48,9
sj,2011,49,8
sj,2011,50,9
sj,2011,51,8
sj,2012,52,11
sj,2012,1,14
sj,2012,2,8
sj,2012,3,7
sj,2012,4,7
sj,2012,5,7
sj,2012,6,6
sj,2012,7,5
sj,2012,8,4
sj,2012,9,6
sj,2012,10,5
sj,2012,11,6
sj,2012,12,4
sj,2012,13,5
sj,2012,14,4
sj,2012,15,4
sj,2012,16,6
sj,2012,17,6
sj,2012,18,5
sj,2012,19,6
sj,2012,20,4
sj,2012,21,5
sj,2012,22,6
sj,2012,23,9
sj,2012,24,6
sj,2012,25,6
sj,2012,26,7
sj,2012,27,10
sj,2012,28,9
sj,2012,29,9
sj,2012,30,12
sj,2012,31,13
sj,2012,32,13
sj,2012,33,13
sj,2012,34,15
sj,2012,35,15
sj,2012,36,15
sj,2012,37,16
sj,2012,38,15
sj,2012,39,18
sj,2012,40,16
sj,2012,41,13
sj,2012,42,10
sj,2012,43,12
sj,2012,44,13
sj,2012,45,12
sj,2012,46,12
sj,2012,47,10
sj,2012,48,11
sj,2012,49,9
sj,2012,50,7
sj,2012,51,6
sj,2013,1,10
sj,2013,2,7
sj,2013,3,8
sj,2013,4,7
sj,2013,5,7
sj,2013,6,5
sj,2013,7,6
sj,2013,8,7
sj,2013,9,5
sj,2013,10,6
sj,2013,11,8
sj,2013,12,5
sj,2013,13,4
sj,2013,14,2
sj,2013,15,3
sj,2013,16,4
sj,2013,17,5
iq,2010,26,8
iq,2010,27,7
iq,2010,28,4
iq,2010,29,3
iq,2010,30,1
iq,2010,31,2
iq,2010,32,2
iq,2010,33,1
iq,2010,34,2
iq,2010,35,2
iq,2010,36,2
iq,2010,37,3
iq,2010,38,3
iq,2010,39,3
iq,2010,40,3
iq,2010,41,2
iq,2010,42,3
iq,2010,43,2
iq,2010,44,3
iq,2010,45,4
iq,2010,46,3
iq,2010,47,3
iq,2010,48,5
iq,2010,49,4
iq,2010,50,6
iq,2010,51,0
iq,2011,52,0
iq,2011,1,6
iq,2011,2,5
iq,2011,3,5
iq,2011,4,3
iq,2011,5,3
iq,2011,6,3
iq,2011,7,3
iq,2011,8,3
iq,2011,9,3
iq,2011,10,2
iq,2011,11,4
iq,2011,12,3
iq,2011,13,2
iq,2011,14,2
iq,2011,15,3
iq,2011,16,2
iq,2011,17,2
iq,2011,18,3
iq,2011,19,4
iq,2011,20,4
iq,2011,21,2
iq,2011,22,1
iq,2011,23,3
iq,2011,24,2
iq,2011,25,3
iq,2011,26,2
iq,2011,27,2
iq,2011,28,1
iq,2011,29,3
iq,2011,30,2
iq,2011,31,3
iq,2011,32,2
iq,2011,33,2
iq,2011,34,2
iq,2011,35,1
iq,2011,36,2
iq,2011,37,2
iq,2011,38,3
iq,2011,39,1
iq,2011,40,3
iq,2011,41,4
iq,2011,42,2
iq,2011,43,3
iq,2011,44,3
iq,2011,45,2
iq,2011,46,3
iq,2011,47,4
iq,2011,48,1
iq,2011,49,2
iq,2011,50,4
iq,2011,51,2
iq,2012,52,1
iq,2012,1,6
iq,2012,2,5
iq,2012,3,4
iq,2012,4,5
iq,2012,5,4
iq,2012,6,5
iq,2012,7,2
iq,2012,8,3
iq,2012,9,3
iq,2012,10,2
iq,2012,11,2
iq,2012,12,2
iq,2012,13,2
iq,2012,14,1
iq,2012,15,3
iq,2012,16,5
iq,2012,17,5
iq,2012,18,2
iq,2012,19,0
iq,2012,20,3
iq,2012,21,1
iq,2012,22,1
iq,2012,23,2
iq,2012,24,2
iq,2012,25,3
iq,2012,26,3
iq,2012,27,1
iq,2012,28,2
iq,2012,29,2
iq,2012,30,3
iq,2012,31,2
iq,2012,32,2
iq,2012,33,2
iq,2012,34,3
iq,2012,35,2
iq,2012,36,2
iq,2012,37,3
iq,2012,38,3
iq,2012,39,2
iq,2012,40,3
iq,2012,41,4
iq,2012,42,2
iq,2012,43,2
iq,2012,44,4
iq,2012,45,2
iq,2012,46,3
iq,2012,47,2
iq,2012,48,4
iq,2012,49,4
iq,2012,50,3
iq,2012,51,2
iq,2013,1,7
iq,2013,2,5
iq,2013,3,7
iq,2013,4,4
iq,2013,5,6
iq,2013,6,2
iq,2013,7,3
iq,2013,8,3
iq,2013,9,3
iq,2013,10,4
iq,2013,11,2
iq,2013,12,2
iq,2013,13,5
iq,2013,14,4
iq,2013,15,2
iq,2013,16,3
iq,2013,17,4
iq,2013,18,3
iq,2013,19,3
iq,2013,20,2
iq,2013,21,2
iq,2013,22,4
iq,2013,23,1
iq,2013,24,1
iq,2013,25,2
iq,2013,26,3
