city,year,weekofyear,total_cases
sj,2008,18,3
sj,2008,19,3
sj,2008,20,3
sj,2008,21,3
sj,2008,22,3
sj,2008,23,3
sj,2008,24,3
sj,2008,25,3
sj,2008,26,4
sj,2008,27,4
sj,2008,28,3
sj,2008,29,4
sj,2008,30,4
sj,2008,31,4
sj,2008,32,4
sj,2008,33,4
sj,2008,34,4
sj,2008,35,4
sj,2008,36,4
sj,2008,37,4
sj,2008,38,4
sj,2008,39,4
sj,2008,40,5
sj,2008,41,4
sj,2008,42,5
sj,2008,43,5
sj,2008,44,5
sj,2008,45,5
sj,2008,46,5
sj,2008,47,5
sj,2008,48,5
sj,2008,49,4
sj,2008,50,4
sj,2008,51,4
sj,2008,52,3
sj,2009,1,4
sj,2009,2,3
sj,2009,3,3
sj,2009,4,3
sj,2009,5,4
sj,2009,6,3
sj,2009,7,3
sj,2009,8,4
sj,2009,9,4
sj,2009,10,3
sj,2009,11,3
sj,2009,12,3
sj,2009,13,3
sj,2009,14,3
sj,2009,15,4
sj,2009,16,3
sj,2009,17,4
sj,2009,18,3
sj,2009,19,3
sj,2009,20,3
sj,2009,21,3
sj,2009,22,3
sj,2009,23,3
sj,2009,24,3
sj,2009,25,3
sj,2009,26,3
sj,2009,27,3
sj,2009,28,3
sj,2009,29,3
sj,2009,30,3
sj,2009,31,3
sj,2009,32,4
sj,2009,33,5
sj,2009,34,4
sj,2009,35,4
sj,2009,36,4
sj,2009,37,4
sj,2009,38,4
sj,2009,39,4
sj,2009,40,4
sj,2009,41,4
sj,2009,42,4
sj,2009,43,4
sj,2009,44,5
sj,2009,45,5
sj,2009,46,5
sj,2009,47,5
sj,2009,48,5
sj,2009,49,4
sj,2009,50,3
sj,2009,51,3
sj,2009,52,3
sj,2010,53,3
sj,2010,1,3
sj,2010,2,3
sj,2010,3,3
sj,2010,4,3
sj,2010,5,4
sj,2010,6,4
sj,2010,7,4
sj,2010,8,3
sj,2010,9,3
sj,2010,10,4
sj,2010,11,3
sj,2010,12,3
sj,2010,13,3
sj,2010,14,3
sj,2010,15,3
sj,2010,16,3
sj,2010,17,3
sj,2010,18,3
sj,2010,19,3
sj,2010,20,3
sj,2010,21,3
sj,2010,22,3
sj,2010,23,3
sj,2010,24,4
sj,2010,25,4
sj,2010,26,3
sj,2010,27,3
sj,2010,28,4
sj,2010,29,4
sj,2010,30,3
sj,2010,31,4
sj,2010,32,4
sj,2010,33,4
sj,2010,34,4
sj,2010,35,4
sj,2010,36,5
sj,2010,37,4
sj,2010,38,4
sj,2010,39,5
sj,2010,40,5
sj,2010,41,4
sj,2010,42,4
sj,2010,43,5
sj,2010,44,4
sj,2010,45,5
sj,2010,46,5
sj,2010,47,5
sj,2010,48,5
sj,2010,49,4
sj,2010,50,3
sj,2010,51,4
sj,2011,52,4
sj,2011,1,4
sj,2011,2,4
sj,2011,3,3
sj,2011,4,4
sj,2011,5,3
sj,2011,6,4
sj,2011,7,4
sj,2011,8,3
sj,2011,9,4
sj,2011,10,4
sj,2011,11,3
sj,2011,12,3
sj,2011,13,3
sj,2011,14,3
sj,2011,15,3
sj,2011,16,3
sj,2011,17,5
sj,2011,18,5
sj,2011,19,7
sj,2011,20,8
sj,2011,21,6
sj,2011,22,8
sj,2011,23,8
sj,2011,24,9
sj,2011,25,12
sj,2011,26,12
sj,2011,27,9
sj,2011,28,13
sj,2011,29,12
sj,2011,30,14
sj,2011,31,13
sj,2011,32,11
sj,2011,33,14
sj,2011,34,14
sj,2011,35,11
sj,2011,36,10
sj,2011,37,13
sj,2011,38,11
sj,2011,39,10
sj,2011,40,13
sj,2011,41,9
sj,2011,42,10
sj,2011,43,9
sj,2011,44,11
sj,2011,45,9
sj,2011,46,8
sj,2011,47,9
sj,2011,48,8
sj,2011,49,8
sj,2011,50,9
sj,2011,51,5
sj,2012,52,6
sj,2012,1,6
sj,2012,2,7
sj,2012,3,7
sj,2012,4,6
sj,2012,5,5
sj,2012,6,4
sj,2012,7,4
sj,2012,8,4
sj,2012,9,5
sj,2012,10,4
sj,2012,11,4
sj,2012,12,4
sj,2012,13,4
sj,2012,14,5
sj,2012,15,5
sj,2012,16,5
sj,2012,17,6
sj,2012,18,4
sj,2012,19,6
sj,2012,20,5
sj,2012,21,7
sj,2012,22,7
sj,2012,23,7
sj,2012,24,9
sj,2012,25,9
sj,2012,26,11
sj,2012,27,11
sj,2012,28,13
sj,2012,29,14
sj,2012,30,12
sj,2012,31,14
sj,2012,32,14
sj,2012,33,14
sj,2012,34,15
sj,2012,35,11
sj,2012,36,12
sj,2012,37,11
sj,2012,38,12
sj,2012,39,15
sj,2012,40,13
sj,2012,41,14
sj,2012,42,14
sj,2012,43,14
sj,2012,44,14
sj,2012,45,10
sj,2012,46,9
sj,2012,47,9
sj,2012,48,10
sj,2012,49,10
sj,2012,50,10
sj,2012,51,9
sj,2013,1,6
sj,2013,2,7
sj,2013,3,6
sj,2013,4,7
sj,2013,5,6
sj,2013,6,5
sj,2013,7,6
sj,2013,8,6
sj,2013,9,10
sj,2013,10,5
sj,2013,11,5
sj,2013,12,7
sj,2013,13,7
sj,2013,14,6
sj,2013,15,5
sj,2013,16,6
sj,2013,17,7
iq,2010,26,9
iq,2010,27,7
iq,2010,28,9
iq,2010,29,8
iq,2010,30,9
iq,2010,31,12
iq,2010,32,13
iq,2010,33,9
iq,2010,34,10
iq,2010,35,12
iq,2010,36,11
iq,2010,37,7
iq,2010,38,10
iq,2010,39,14
iq,2010,40,12
iq,2010,41,13
iq,2010,42,15
iq,2010,43,14
iq,2010,44,13
iq,2010,45,13
iq,2010,46,11
iq,2010,47,12
iq,2010,48,12
iq,2010,49,11
iq,2010,50,13
iq,2010,51,12
iq,2011,52,11
iq,2011,1,11
iq,2011,2,8
iq,2011,3,9
iq,2011,4,8
iq,2011,5,5
iq,2011,6,8
iq,2011,7,7
iq,2011,8,7
iq,2011,9,6
iq,2011,10,7
iq,2011,11,7
iq,2011,12,7
iq,2011,13,6
iq,2011,14,6
iq,2011,15,6
iq,2011,16,5
iq,2011,17,5
iq,2011,18,5
iq,2011,19,5
iq,2011,20,5
iq,2011,21,4
iq,2011,22,5
iq,2011,23,5
iq,2011,24,5
iq,2011,25,6
iq,2011,26,6
iq,2011,27,6
iq,2011,28,5
iq,2011,29,5
iq,2011,30,8
iq,2011,31,6
iq,2011,32,8
iq,2011,33,9
iq,2011,34,11
iq,2011,35,10
iq,2011,36,10
iq,2011,37,7
iq,2011,38,13
iq,2011,39,12
iq,2011,40,14
iq,2011,41,13
iq,2011,42,13
iq,2011,43,11
iq,2011,44,14
iq,2011,45,13
iq,2011,46,12
iq,2011,47,12
iq,2011,48,11
iq,2011,49,11
iq,2011,50,10
iq,2011,51,10
iq,2012,52,10
iq,2012,1,8
iq,2012,2,11
iq,2012,3,8
iq,2012,4,9
iq,2012,5,9
iq,2012,6,8
iq,2012,7,8
iq,2012,8,8
iq,2012,9,7
iq,2012,10,7
iq,2012,11,7
iq,2012,12,6
iq,2012,13,6
iq,2012,14,6
iq,2012,15,6
iq,2012,16,5
iq,2012,17,6
iq,2012,18,4
iq,2012,19,5
iq,2012,20,4
iq,2012,21,4
iq,2012,22,4
iq,2012,23,6
iq,2012,24,4
iq,2012,25,4
iq,2012,26,7
iq,2012,27,6
iq,2012,28,7
iq,2012,29,7
iq,2012,30,7
iq,2012,31,10
iq,2012,32,10
iq,2012,33,10
iq,2012,34,10
iq,2012,35,10
iq,2012,36,9
iq,2012,37,12
iq,2012,38,13
iq,2012,39,12
iq,2012,40,12
iq,2012,41,8
iq,2012,42,20
iq,2012,43,10
iq,2012,44,15
iq,2012,45,12
iq,2012,46,12
iq,2012,47,13
iq,2012,48,12
iq,2012,49,12
iq,2012,50,12
iq,2012,51,11
iq,2013,1,11
iq,2013,2,14
