city,year,weekofyear,total_cases
sj,2008,18,3
sj,2008,19,3
sj,2008,20,4
sj,2008,21,4
sj,2008,22,4
sj,2008,23,5
sj,2008,24,5
sj,2008,25,5
sj,2008,26,5
sj,2008,27,6
sj,2008,28,5
sj,2008,29,6
sj,2008,30,5
sj,2008,31,6
sj,2008,32,6
sj,2008,33,6
sj,2008,34,7
sj,2008,35,7
sj,2008,36,6
sj,2008,37,7
sj,2008,38,6
sj,2008,39,6
sj,2008,40,7
sj,2008,41,6
sj,2008,42,8
sj,2008,43,7
sj,2008,44,8
sj,2008,45,7
sj,2008,46,7
sj,2008,47,8
sj,2008,48,7
sj,2008,49,7
sj,2008,50,7
sj,2008,51,7
sj,2008,52,6
sj,2009,1,6
sj,2009,2,6
sj,2009,3,6
sj,2009,4,6
sj,2009,5,6
sj,2009,6,6
sj,2009,7,6
sj,2009,8,6
sj,2009,9,6
sj,2009,10,5
sj,2009,11,6
sj,2009,12,5
sj,2009,13,5
sj,2009,14,5
sj,2009,15,5
sj,2009,16,5
sj,2009,17,5
sj,2009,18,5
sj,2009,19,4
sj,2009,20,4
sj,2009,21,4
sj,2009,22,5
sj,2009,23,5
sj,2009,24,5
sj,2009,25,5
sj,2009,26,5
sj,2009,27,5
sj,2009,28,5
sj,2009,29,5
sj,2009,30,5
sj,2009,31,5
sj,2009,32,5
sj,2009,33,6
sj,2009,34,5
sj,2009,35,6
sj,2009,36,6
sj,2009,37,6
sj,2009,38,6
sj,2009,39,6
sj,2009,40,7
sj,2009,41,7
sj,2009,42,7
sj,2009,43,7
sj,2009,44,8
sj,2009,45,8
sj,2009,46,7
sj,2009,47,7
sj,2009,48,7
sj,2009,49,7
sj,2009,50,6
sj,2009,51,6
sj,2009,52,6
sj,2010,53,6
sj,2010,1,5
sj,2010,2,5
sj,2010,3,5
sj,2010,4,5
sj,2010,5,5
sj,2010,6,5
sj,2010,7,5
sj,2010,8,5
sj,2010,9,4
sj,2010,10,5
sj,2010,11,5
sj,2010,12,4
sj,2010,13,4
sj,2010,14,4
sj,2010,15,4
sj,2010,16,4
sj,2010,17,4
sj,2010,18,4
sj,2010,19,4
sj,2010,20,5
sj,2010,21,4
sj,2010,22,4
sj,2010,23,5
sj,2010,24,5
sj,2010,25,5
sj,2010,26,5
sj,2010,27,5
sj,2010,28,5
sj,2010,29,5
sj,2010,30,4
sj,2010,31,5
sj,2010,32,5
sj,2010,33,5
sj,2010,34,5
sj,2010,35,5
sj,2010,36,6
sj,2010,37,5
sj,2010,38,6
sj,2010,39,6
sj,2010,40,7
sj,2010,41,6
sj,2010,42,7
sj,2010,43,8
sj,2010,44,7
sj,2010,45,7
sj,2010,46,8
sj,2010,47,8
sj,2010,48,7
sj,2010,49,7
sj,2010,50,6
sj,2010,51,6
sj,2011,52,6
sj,2011,1,6
sj,2011,2,6
sj,2011,3,6
sj,2011,4,6
sj,2011,5,6
sj,2011,6,6
sj,2011,7,6
sj,2011,8,5
sj,2011,9,6
sj,2011,10,5
sj,2011,11,5
sj,2011,12,5
sj,2011,13,5
sj,2011,14,4
sj,2011,15,4
sj,2011,16,4
sj,2011,17,6
sj,2011,18,6
sj,2011,19,8
sj,2011,20,11
sj,2011,21,9
sj,2011,22,13
sj,2011,23,14
sj,2011,24,14
sj,2011,25,18
sj,2011,26,18
sj,2011,27,20
sj,2011,28,29
sj,2011,29,29
sj,2011,30,35
sj,2011,31,36
sj,2011,32,38
sj,2011,33,43
sj,2011,34,44
sj,2011,35,45
sj,2011,36,46
sj,2011,37,52
sj,2011,38,47
sj,2011,39,54
sj,2011,40,58
sj,2011,41,58
sj,2011,42,63
sj,2011,43,67
sj,2011,44,70
sj,2011,45,67
sj,2011,46,65
sj,2011,47,69
sj,2011,48,58
sj,2011,49,61
sj,2011,50,60
sj,2011,51,50
sj,2012,52,53
sj,2012,1,45
sj,2012,2,50
sj,2012,3,38
sj,2012,4,42
sj,2012,5,33
sj,2012,6,29
sj,2012,7,28
sj,2012,8,25
sj,2012,9,24
sj,2012,10,23
sj,2012,11,23
sj,2012,12,23
sj,2012,13,23
sj,2012,14,23
sj,2012,15,24
sj,2012,16,24
sj,2012,17,25
sj,2012,18,22
sj,2012,19,25
sj,2012,20,25
sj,2012,21,26
sj,2012,22,28
sj,2012,23,28
sj,2012,24,31
sj,2012,25,31
sj,2012,26,36
sj,2012,27,39
sj,2012,28,43
sj,2012,29,43
sj,2012,30,45
sj,2012,31,52
sj,2012,32,52
sj,2012,33,64
sj,2012,34,71
sj,2012,35,70
sj,2012,36,77
sj,2012,37,77
sj,2012,38,79
sj,2012,39,83
sj,2012,40,86
sj,2012,41,89
sj,2012,42,88
sj,2012,43,110
sj,2012,44,94
sj,2012,45,87
sj,2012,46,90
sj,2012,47,79
sj,2012,48,104
sj,2012,49,86
sj,2012,50,92
sj,2012,51,76
sj,2013,1,80
sj,2013,2,62
sj,2013,3,65
sj,2013,4,60
sj,2013,5,55
sj,2013,6,51
sj,2013,7,53
sj,2013,8,50
sj,2013,9,58
sj,2013,10,44
sj,2013,11,51
sj,2013,12,45
sj,2013,13,49
sj,2013,14,39
sj,2013,15,40
sj,2013,16,37
sj,2013,17,35
iq,2010,26,9
iq,2010,27,7
iq,2010,28,12
iq,2010,29,11
iq,2010,30,14
iq,2010,31,18
iq,2010,32,19
iq,2010,33,20
iq,2010,34,26
iq,2010,35,29
iq,2010,36,31
iq,2010,37,30
iq,2010,38,34
iq,2010,39,42
iq,2010,40,41
iq,2010,41,46
iq,2010,42,51
iq,2010,43,50
iq,2010,44,63
iq,2010,45,67
iq,2010,46,72
iq,2010,47,76
iq,2010,48,78
iq,2010,49,77
iq,2010,50,89
iq,2010,51,80
iq,2011,52,94
iq,2011,1,78
iq,2011,2,87
iq,2011,3,79
iq,2011,4,68
iq,2011,5,60
iq,2011,6,62
iq,2011,7,55
iq,2011,8,52
iq,2011,9,53
iq,2011,10,48
iq,2011,11,50
iq,2011,12,46
iq,2011,13,42
iq,2011,14,37
iq,2011,15,33
iq,2011,16,28
iq,2011,17,27
iq,2011,18,25
iq,2011,19,24
iq,2011,20,24
iq,2011,21,24
iq,2011,22,25
iq,2011,23,24
iq,2011,24,24
iq,2011,25,26
iq,2011,26,25
iq,2011,27,25
iq,2011,28,24
iq,2011,29,25
iq,2011,30,29
iq,2011,31,26
iq,2011,32,30
iq,2011,33,30
iq,2011,34,36
iq,2011,35,36
iq,2011,36,37
iq,2011,37,35
iq,2011,38,43
iq,2011,39,40
iq,2011,40,46
iq,2011,41,45
iq,2011,42,47
iq,2011,43,46
iq,2011,44,54
iq,2011,45,52
iq,2011,46,62
iq,2011,47,65
iq,2011,48,70
iq,2011,49,69
iq,2011,50,68
iq,2011,51,70
iq,2012,52,71
iq,2012,1,65
iq,2012,2,70
iq,2012,3,64
iq,2012,4,65
iq,2012,5,61
iq,2012,6,62
iq,2012,7,55
iq,2012,8,56
iq,2012,9,58
iq,2012,10,56
iq,2012,11,56
iq,2012,12,52
iq,2012,13,52
iq,2012,14,47
iq,2012,15,47
iq,2012,16,37
iq,2012,17,35
iq,2012,18,29
iq,2012,19,27
iq,2012,20,25
iq,2012,21,23
iq,2012,22,24
iq,2012,23,26
iq,2012,24,23
iq,2012,25,23
iq,2012,26,28
iq,2012,27,25
iq,2012,28,27
iq,2012,29,28
iq,2012,30,29
iq,2012,31,32
iq,2012,32,33
iq,2012,33,36
iq,2012,34,40
iq,2012,35,40
iq,2012,36,38
iq,2012,37,43
iq,2012,38,42
iq,2012,39,46
iq,2012,40,49
iq,2012,41,44
iq,2012,42,67
iq,2012,43,51
iq,2012,44,74
iq,2012,45,71
iq,2012,46,77
iq,2012,47,80
iq,2012,48,82
iq,2012,49,88
iq,2012,50,80
iq,2012,51,84
iq,2013,1,77
iq,2013,2,88
